COURSE ID,GRADE
ENGL& 101,4.0
HLTH 105,4.0
MATH 090,4.0
Gpa Cr 14.0,Grpts 56.0
CHEM& 141,3.6
CHEM& 151,3.6
ENGL& 102,4.0
MATH& 141,4.0
Gpa Cr 16.0,Grpts 61.6
ANTH& 100,4.0
HIST& 118,4.0
MATH& 142,4.0
Gpa Cr 15.0,Grpts 60.0
BUS& 101,4.0
HUM 101,4.0
MATH& 151,3.9
Gpa Cr 15.0,Grpts 59.5
COMM 101,4.0
MATH& 152,4.0
PHIL& 101,4.0
PSYC& 100,4.0
Gpa Cr 20.0,Grpts 80.0
BSTEC 107,4.0
GEOL& 103,4.0
MATH& 153,4.0
MGMT 100,4.0
PE 124,4.0
Gpa Cr 22.0,Grpts 88.0
ACCT& 203,4.0
Gpa Cr 5.0,Grpts 20.0
Gpa Cr 107.0,Grpts 425.1
Gpa Cr 102.0,Grpts 405.1
